----------------------.---------------------
----------------------.---------------------
----------------------.---------------------
----------------------.---------------------
----------------------.---------------------
----------------------.---------------------
----------------------.---------------------
----------------------.---------------------
----------------------.---------------------
----------------------.---------------------
----------------------.---------------------
----------------------.---------------------
----------------------.-.-------------------
---------------------..-.-------------------
--------------|*`..*`.,-.|`..|--------------
..*`..*.*-*`.*|*`..*`.,,..|..|`.,`,*`..*`.,.
.*...*`..*`..,.*`..*`.,--|`..|`.,`,*`..*`.,.
*`..*`.,`,*`..|*`..*`.---*`..|`.,`,*`..*`.,.
*`..*`.,`,*`..|*`..*`.,`,*`..|`.,`,*`..*`.,.
*`..*`.,`,*`..|*`..*`.,`,*`..|`.,`,*`..*`.,.
.*`.,`...*`.,`|*`..*`.,`,*`..|`.,`,*`..*`.,.
-------.------|*`..*`.,`,*`..|--------------
*`..*`.,`,.,.,|*`..*`.,`,*`..|`.,`,*`..*`.,.
.*`.,`-.*`.,`,|*`..*`.,`,*`..|`.,`,*`..*`.,.
..*`..*`.,`,*`|*`..*`.,`,*`..|`.,`,*`..*`.,.
..*`..*`.,`,*`|*`..*`.,`,*`..|.,`,*`..*`.,.
..*`..*`.,`,*`|*`..*`.,`,*`..|`.,`,*`..*`.,.
..*`..*`.,`,*`|*`..*`.,`,*`..|`.,`,*`..*`.,.
..*`..*`.,`,*`|*`..*`.,`,*`..|`.,`,*`..*`.,.
..*`..*`.,`,*`|*`..*`.,`,*`..|`.,`,*`..*`.,.
